slug,name,description,difficulty,distance_mi,elevation_gain_ft,route_type,trailhead_lat,trailhead_lng,tags,unsplash_query
griffith-observatory-fern-dell,Griffith Observatory via Fern Dell,"A classic LA loop starting through the shaded Fern Dell nature walk before ascending to the iconic Griffith Observatory with sweeping city views.",moderate,3.5,450,loop,34.1297,-118.3001,"loop,views,dog-friendly,paved",griffith observatory los angeles hiking
runyon-canyon,Runyon Canyon,"Hollywood's favorite workout hike — open terrain with off-leash dog areas, city skyline views, and a crowd that ranges from serious hikers to celebrity-spotters.",easy,2.2,350,loop,34.0985,-118.3529,"loop,dog-friendly,views,celebrity-sighting",runyon canyon los angeles trail
mount-hollywood-trail,Mount Hollywood Trail,"The highest summit in Griffith Park rewards a moderate effort with 360-degree views stretching from the Pacific to the San Gabriel Mountains on clear days.",moderate,4.0,600,loop,34.1183,-118.3004,"loop,views,summit,dog-friendly",mount hollywood trail griffith park
temescal-canyon-loop,Temescal Canyon Loop,"One of the most popular Westside hikes, combining a lush canyon creek walk with an exposed ridge return and excellent ocean and city views.",moderate,3.8,1100,loop,34.0425,-118.5226,"loop,views,ocean-view,waterfall",temescal canyon malibu hiking trail
will-rogers-ranch-trail,Will Rogers Ranch Loop,"A gentle loop through the rolling meadows of Will Rogers State Historic Park with peaceful views over the polo field and the Santa Monica Mountains.",moderate,2.0,400,loop,34.0493,-118.5265,"loop,views,dog-friendly,meadow",will rogers state park pacific palisades hiking
backbone-trail-will-rogers,Backbone Trail from Will Rogers,"The westernmost section of the 67-mile Backbone Trail, climbing sharply to Topanga Ridge and crossing open chaparral with jaw-dropping ocean panoramas.",hard,8.5,1500,out_and_back,34.0493,-118.5265,"views,ocean-view,ridge,strenuous",backbone trail santa monica mountains ridge
eagle-rock-loop,Eagle Rock via Eagle Spring,"A satisfying Topanga loop through oak woodland and coastal sage scrub leading to the distinctive formation of Eagle Rock perched above Topanga Canyon.",moderate,6.5,700,loop,34.0888,-118.5967,"loop,geology,dog-friendly,oak-woodland",eagle rock topanga state park trail
santa-ynez-canyon,Santa Ynez Canyon Trail,"A hidden gem tucked above Pacific Palisades following a seasonal creek through a narrow sandstone canyon to a small waterfall.",moderate,3.5,650,out_and_back,34.0502,-118.5467,"waterfall,canyon,dog-friendly,creek",santa ynez canyon palisades waterfall
solstice-canyon-loop,Solstice Canyon Loop,"Malibu's most accessible canyon hike passes ruins of the Roberts Ranch house, a year-round waterfall, and shaded sycamore groves on the return.",easy,3.0,300,loop,34.0394,-118.7577,"loop,waterfall,ruins,dog-friendly,easy",solstice canyon malibu waterfall trail
escondido-falls,Escondido Falls Trail,"A popular out-and-back to the tallest waterfall in the Santa Monica Mountains, tucked inside a narrow canyon with good flow after winter rains.",easy,4.0,450,out_and_back,34.0392,-118.7896,"waterfall,canyon,dog-friendly,seasonal",escondido falls malibu waterfall trail
